<<<<<<< HEAD
cityName,NAME3,wardName,wardNo,numUnemployed,numEmployed,workForce,workingAgePop
wuhan,HongShanQu,DongHuKaiFaQuZuoLingZhen,1,393,14738,15132,24767
wuhan,QingShanQu,GongRenCunJieDaoBanShiChu,2,201,7533,7735,12660
wuhan,HongShanQu,HePingJieDaoBanShiChu,3,1532,57406,58939,96464
wuhan,XinZhouQu,FengHuangZhen,4,311,11673,11985,19617
wuhan,JiangHanQu,MinYiJieBanShiChu,5,507,19001,19509,31931
wuhan,JiangXiaQu,ZhiFangJieBanShiChu,6,2610,97803,100414,164344
wuhan,JiangAnQu,XiMaJieBanShiChu,7,873,32741,33615,55017
wuhan,JiangHanQu,QianJinJieBanShiChu,8,504,18890,19395,31744
wuhan,HongShanQu,LuoNanJieDao,9,3277,122774,126052,206306
wuhan,WuChangQu,ShiDongJieBanShiChu,10,95,3569,3665,5999
wuhan,HongShanQu,TianXingXiang,11,47,1792,1840,3013
wuhan,HanYangQu,YingWuJieBanShiChu,12,740,27734,28475,46604
wuhan,QingShanQu,XinGouQiaoJieDaoBanShiChu,13,781,29285,30067,49211
wuhan,JiangHanQu,ManChunJieBanShiChu,14,339,12709,13049,21358
wuhan,QingShanQu,WuGangChangQu,15,3,148,152,250
wuhan,XinZhouQu,LiJiJieDaoBanShiChu,16,624,23403,24028,39326
wuhan,DongXiHuQu,ZouMaLingJieDaoBanShiChu,17,365,13677,14043,22985
wuhan,JiangXiaQu,ShuAnXiang,18,122,4601,4724,7733
wuhan,JiangXiaQu,DongHuKaiFaQuLiuFangJieBanShiChu,19,197,7404,7602,12443
wuhan,HanYangQu,QingChuanJieBanShiChu,20,244,9150,9395,15378
wuhan,JiangXiaQu,DongHuKaiFaQuBaoXieBanShiChu,21,339,12700,13040,21343
wuhan,JiangAnQu,ErQiJieBanShiChu,22,1153,43223,44377,72631
wuhan,HanYangQu,JiangDiJieBanShiChu,23,349,13075,13425,21973
wuhan,DongXiHuQu,CiHuiJieDaoBanShiChu,24,223,8373,8597,14072
wuhan,JiangHanQu,HanXingJieBanShiChu,25,2140,80192,82333,134752
wuhan,HuangBeiQu,QiJiaWanJieDao,26,873,32720,33594,54983
wuhan,CaiDianQu,ZhuRuJieBanShiChu,27,655,24539,25195,41236
wuhan,WuChangQu,LiangDaoJieBanShiChu,28,925,34662,35588,58246
wuhan,JiangAnQu,DanShuiChiJieBanShiChu,29,819,30697,31517,51584
wuhan,DongXiHuQu,ChangQingJieDaoBanShiChu,30,568,21299,21868,35792
wuhan,JiangXiaQu,HuSiZhen,31,188,7059,7248,11864
wuhan,HanYangQu,JianQiaoJieBanShiChu,32,669,25077,25747,42140
wuhan,QiaoKouQu,RongHuaJieDaoBanShiChu,33,720,27006,27727,45380
wuhan,HanNanQu,DengNanJieDaoBanShiChu,34,189,7109,7299,11947
wuhan,JiangAnQu,BaiBuTingHuaYuan,35,622,23331,23954,39206
wuhan,JiangXiaQu,JinKouJieBanShiChu,36,724,27158,27883,45636
wuhan,WuChangQu,NanHuJieBanShiChu,37,752,28172,28925,47341
